N,Version,Threshold,Blocks,Threads,Average
2048,1,1,1,1,0.4224
2048,1,1,1,2,0.2843136
2048,1,1,1,4,0.1963008
2048,1,1,1,8,0.138176
2048,1,1,1,16,0.1020992
2048,1,1,1,32,0.0803008
2048,1,1,1,64,0.0674816
2048,1,1,1,128,0.0605056
2048,1,1,1,256,0.0570944
2048,1,1,1,512,0.0548736
2048,1,1,1,1024,0.0499456
2048,1,1,2,1,0.2381696
2048,1,1,2,2,0.1688384
2048,1,1,2,4,0.1258048
2048,1,1,2,8,0.0991104
2048,1,1,2,16,0.0769984
2048,1,1,2,32,0.0651136
2048,1,1,2,64,0.0594944
2048,1,1,2,128,0.056064
2048,1,1,2,256,0.0517568
2048,1,1,2,512,0.05104
2048,1,1,2,1024,0.057568
2048,1,1,4,1,0.1460928
2048,1,1,4,2,0.1102016
2048,1,1,4,4,0.0868096
2048,1,1,4,8,0.0710144
2048,1,1,4,16,0.063136
2048,1,1,4,32,0.0588032
2048,1,1,4,64,0.0564864
2048,1,1,4,128,0.0534912
2048,1,1,4,256,0.0532032
2048,1,1,4,512,0.0646848
2048,1,1,4,1024,0.0616448
2048,1,1,8,1,0.1044096
2048,1,1,8,2,0.0817472
2048,1,1,8,4,0.0706304
2048,1,1,8,8,0.0645696
2048,1,1,8,16,0.0581568
2048,1,1,8,32,0.0553664
2048,1,1,8,64,0.053792
2048,1,1,8,128,0.0508416
2048,1,1,8,256,0.0553152
2048,1,1,8,512,0.0660608
2048,1,1,8,1024,0.072704
2048,1,1,16,1,0.0725056
2048,1,1,16,2,0.0626752
2048,1,1,16,4,0.057088
2048,1,1,16,8,0.0526912
2048,1,1,16,16,0.0582272
2048,1,1,16,32,0.0537216
2048,1,1,16,64,0.0502976
2048,1,1,16,128,0.0542912
2048,1,1,16,256,0.0595904
2048,1,1,16,512,0.074272
2048,1,1,16,1024,0.0981184
2048,1,1,32,1,0.0652544
2048,1,1,32,2,0.057472
2048,1,1,32,4,0.0543296
2048,1,1,32,8,0.0532352
2048,1,1,32,16,0.0533376
2048,1,1,32,32,0.0517312
2048,1,1,32,64,0.055488
2048,1,1,32,128,0.0572608
2048,1,1,32,256,0.078304
2048,1,1,32,512,0.0965888
2048,1,1,32,1024,0.1321472
2048,1,1,64,1,0.0596352
2048,1,1,64,2,0.0560384
2048,1,1,64,4,0.0550912
2048,1,1,64,8,0.0536512
2048,1,1,64,16,0.0531712
2048,1,1,64,32,0.0553024
2048,1,1,64,64,0.0618112
2048,1,1,64,128,0.0745728
2048,1,1,64,256,0.0966528
2048,1,1,64,512,0.1384064
2048,1,1,64,1024,0.2156608
2048,1,1,128,1,0.058784
2048,1,1,128,2,0.0564928
2048,1,1,128,4,0.0535168
2048,1,1,128,8,0.051936
2048,1,1,128,16,0.0532544
2048,1,1,128,32,0.0590208
2048,1,1,128,64,0.0738496
2048,1,1,128,128,0.0917696
2048,1,1,128,256,0.13424
2048,1,1,128,512,0.2163264
2048,1,1,128,1024,0.3749312
2048,1,1,256,1,0.0597056
2048,1,1,256,2,0.0577344
2048,1,1,256,4,0.0563136
2048,1,1,256,8,0.0580096
2048,1,1,256,16,0.06432
2048,1,1,256,32,0.0755648
2048,1,1,256,64,0.0950656
2048,1,1,256,128,0.1329216
2048,1,1,256,256,0.2118592
2048,1,1,256,512,0.3792
2048,1,1,256,1024,0.6437504
2048,1,1,512,1,0.0611776
2048,1,1,512,2,0.0581376
2048,1,1,512,4,0.0619136
2048,1,1,512,8,0.068096
2048,1,1,512,16,0.0851648
2048,1,1,512,32,0.091488
2048,1,1,512,64,0.1246336
2048,1,1,512,128,0.2116928
2048,1,1,512,256,0.373696
2048,1,1,512,512,0.5901632
2048,1,1,512,1024,0.9950336
2048,1,1,1024,1,0.0634496
2048,1,1,1024,2,0.0671936
2048,1,1,1024,4,0.0738112
2048,1,1,1024,8,0.086464
2048,1,1,1024,16,0.1017344
2048,1,1,1024,32,0.137536
2048,1,1,1024,64,0.200224
2048,1,1,1024,128,0.3490752
2048,1,1,1024,256,0.6127488
2048,1,1,1024,512,1.0255488
2048,1,1,1024,1024,1.8635136
2048,1,1,2048,1,0.0770688
2048,1,1,2048,2,0.0877696
2048,1,1,2048,4,0.1004608
2048,1,1,2048,8,0.114208
2048,1,1,2048,16,0.1486528
2048,1,1,2048,32,0.2125248
2048,1,1,2048,64,0.3624512
2048,1,1,2048,128,0.5732736
2048,1,1,2048,256,0.9205184
2048,1,1,2048,512,1.7021504
2048,1,1,2048,1024,3.4627392
2048,1,1,4096,1,0.1124544
2048,1,1,4096,2,0.1226176
2048,1,1,4096,4,0.1457152
2048,1,1,4096,8,0.1935936
2048,1,1,4096,16,0.2579072
2048,1,1,4096,32,0.4304384
2048,1,1,4096,64,0.6072576
2048,1,1,4096,128,0.9821632
2048,1,1,4096,256,1.6628992
2048,1,1,4096,512,3.2898304
2048,1,1,4096,1024,6.6253504
2048,1,1,8192,1,0.1645312
2048,1,1,8192,2,0.1867968
2048,1,1,8192,4,0.232224
2048,1,1,8192,8,0.3130432
2048,1,1,8192,16,0.4547968
2048,1,1,8192,32,0.6521024
2048,1,1,8192,64,0.9817792
2048,1,1,8192,128,1.7062784
2048,1,1,8192,256,3.0067328
2048,1,1,8192,512,6.0720704
2048,1,1,8192,1024,12.6122944
2048,1,1,16384,1,0.266272
2048,1,1,16384,2,0.3163136
2048,1,1,16384,4,0.4078208
2048,1,1,16384,8,0.5628864
2048,1,1,16384,16,0.803456
2048,1,1,16384,32,1.0911936
2048,1,1,16384,64,1.7021888
2048,1,1,16384,128,3.1259008
2048,1,1,16384,256,6.0056832
2048,1,1,16384,512,12.1316864
2048,1,1,16384,1024,24.4973122
2048,1,1,32768,1,0.4625984
2048,1,1,32768,2,0.5647296
2048,1,1,32768,4,0.736384
2048,1,1,32768,8,1.0644032
2048,1,1,32768,16,1.3566848
2048,1,1,32768,32,1.8151424
2048,1,1,32768,64,3.055488
2048,1,1,32768,128,5.905504
2048,1,1,32768,256,11.315648
2048,1,1,32768,512,23.0551748
2048,1,1,32768,1024,46.4436868
2048,1,4,1,1,0.4215296
2048,1,4,1,2,0.2850304
2048,1,4,1,4,0.1966336
2048,1,4,1,8,0.1415424
2048,1,4,1,16,0.101664
2048,1,4,1,32,0.0781184
2048,1,4,1,64,0.0724352
2048,1,4,1,128,0.0590912
2048,1,4,1,256,0.0509184
2048,1,4,1,512,0.048768
2048,1,4,1,1024,0.0477184
2048,1,4,2,1,0.2375296
2048,1,4,2,2,0.1685952
2048,1,4,2,4,0.1246528
2048,1,4,2,8,0.0914112
2048,1,4,2,16,0.074208
2048,1,4,2,32,0.0661248
2048,1,4,2,64,0.0594816
2048,1,4,2,128,0.055936
2048,1,4,2,256,0.04896
2048,1,4,2,512,0.048832
2048,1,4,2,1024,0.0496704
2048,1,4,4,1,0.1428672
2048,1,4,4,2,0.1090432
2048,1,4,4,4,0.0889024
2048,1,4,4,8,0.0724672
2048,1,4,4,16,0.0632384
2048,1,4,4,32,0.0590464
2048,1,4,4,64,0.0587712
2048,1,4,4,128,0.0530752
2048,1,4,4,256,0.0487488
2048,1,4,4,512,0.0535488
2048,1,4,4,1024,0.0601792
2048,1,4,8,1,0.100256
2048,1,4,8,2,0.0794048
2048,1,4,8,4,0.0671616
2048,1,4,8,8,0.0606464
2048,1,4,8,16,0.0563712
2048,1,4,8,32,0.0553216
2048,1,4,8,64,0.0543232
2048,1,4,8,128,0.0528832
2048,1,4,8,256,0.0560448
2048,1,4,8,512,0.0614848
2048,1,4,8,1024,0.074784
2048,1,4,16,1,0.0771072
2048,1,4,16,2,0.0671744
2048,1,4,16,4,0.0642624
2048,1,4,16,8,0.0574016
2048,1,4,16,16,0.0521984
2048,1,4,16,32,0.0578048
2048,1,4,16,64,0.0520448
2048,1,4,16,128,0.0529792
2048,1,4,16,256,0.0581952
2048,1,4,16,512,0.071136
2048,1,4,16,1024,0.0899776
2048,1,4,32,1,0.065408
2048,1,4,32,2,0.0600832
2048,1,4,32,4,0.0574976
2048,1,4,32,8,0.0539392
2048,1,4,32,16,0.0509824
2048,1,4,32,32,0.0505152
2048,1,4,32,64,0.05376
2048,1,4,32,128,0.057408
2048,1,4,32,256,0.0677056
2048,1,4,32,512,0.090112
2048,1,4,32,1024,0.137408
2048,1,4,64,1,0.0576
2048,1,4,64,2,0.0573504
2048,1,4,64,4,0.055328
2048,1,4,64,8,0.0522624
2048,1,4,64,16,0.0624704
2048,1,4,64,32,0.05696
2048,1,4,64,64,0.061952
2048,1,4,64,128,0.0740352
2048,1,4,64,256,0.0939392
2048,1,4,64,512,0.1343808
2048,1,4,64,1024,0.21168
2048,1,4,128,1,0.0602048
2048,1,4,128,2,0.0573952
2048,1,4,128,4,0.0538688
2048,1,4,128,8,0.0543744
2048,1,4,128,16,0.0565824
2048,1,4,128,32,0.0619456
